Nombre	Provincia	Cuenta Individual	Latitud	Longitud	day	month	year
Ara macao	Alajuela	6	10.365022	-84.381516	3	9	2023
Ara macao	Alajuela	1	10.686364	-84.20616	16	3	2023
Ara macao	Alajuela	4	10.686364	-84.20616	6	9	2023
Ara macao	Alajuela	2	10.749806	-84.19381	26	3	2023
Ara macao	Alajuela	2	10.711517	-84.206795	27	5	2023
Ara macao	Alajuela	1	9.900908	-84.603264	8	2	2023
Ara macao	Alajuela	1	10.711517	-84.206795	18	9	2023
Ara macao	Alajuela	1	10.680767	-84.203255	2	2	2023
Ara macao	Alajuela	5	9.923898	-84.39324	25	2	2023
Ara macao	Alajuela	4	10.350647	-84.42962	28	2	2023
Ara macao	Alajuela	2	10.68515	-84.18112	22	6	2018
Ara macao	Alajuela	2	10.686364	-84.20616	28	2	2023
Ara macao	Alajuela	1	9.984267	-84.250046	2	3	2023
Ara macao	Alajuela	5	10.446185	-84.61614	5	7	2023
Ara macao	Alajuela	2	10.689868	-84.19496	22	2	2023
Ara macao	Alajuela	1	10.49965	-84.52189	22	2	2023
Ara macao	Alajuela	2	9.900908	-84.603264	13	5	2023
Ara macao	Alajuela	2	10.686364	-84.20616	14	4	2023
Ara macao	Alajuela	1	10.680767	-84.203255	2	2	2023
Ara macao	Alajuela	3	10.363091	-84.390236	18	3	2023
Ara macao	Alajuela	4	10.6767	-84.2238	7	3	2023
Ara macao	Alajuela	2	10.350084	-84.43426	20	9	2023
Ara macao	Alajuela	2	10.396079	-84.56112	21	10	2023
Ara macao	Alajuela	7	9.900908	-84.603264	5	3	2023
Ara macao	Alajuela	2	10.686364	-84.20616	22	9	2023
Ara macao	Alajuela	2	10.48307	-84.45671	24	8	2023
Ara macao	Alajuela	1	10.427661	-84.75008	25	2	2023
Ara macao	Alajuela	2	9.913765	-84.56686	10	3	2023
Ara macao	Alajuela	2	10.718353	-84.17186	6	3	2023
Ara macao	Alajuela	3	9.937236	-84.37613	15	2	2023
Ara macao	Alajuela	2	10.37215	-84.59314	14	5	2023
Ara macao	Alajuela	4	10.686364	-84.20616	6	9	2023
Ara macao	Alajuela	2	10.6767	-84.2238	21	2	2023
Ara macao	Alajuela	10	10.68515	-84.18112	10	12	2023
Ara macao	Alajuela	2	10.686364	-84.20616	22	2	2023
Ara macao	Alajuela	3	9.932425	-84.38173	12	1	2023
Ara macao	Alajuela	6	10.35892	-84.49212	1	8	2023
Ara macao	Alajuela	8	10.718962	-84.16928	24	8	2023
Ara macao	Alajuela	2	10.686364	-84.20616	23	9	2023
Ara macao	Alajuela	4	9.932425	-84.38173	28	7	2023
Ara macao	Alajuela	1	10.700829	-84.19079	7	2	2023
Ara macao	Alajuela	2	10.68515	-84.18112	31	7	2023
Ara macao	Alajuela	2	9.911766	-84.52359	4	7	2023
Ara macao	Alajuela	5	9.902569	-84.58962	5	3	2023
Ara macao	Alajuela	2	10.483697	-84.570724	3	2	2023
Ara macao	Alajuela	2	10.704278	-84.18706	6	2	2023
Ara macao	Alajuela	2	10.68515	-84.18112	22	2	2023
Ara macao	Alajuela	2	10.362227	-84.44668	23	2	2023
Ara macao	Alajuela	2	9.923898	-84.39324	21	4	2023
Ara macao	Alajuela	2	10.468952	-84.64557	23	1	2023
Ara macao	Alajuela	2	10.686364	-84.20616	3	2	2023
Ara macao	Alajuela	1	9.900908	-84.603264	8	2	2023
Ara macao	Alajuela	2	9.932425	-84.38173	15	1	2023
Ara macao	Alajuela	2	9.888983	-84.59419	26	6	2023
Ara macao	Alajuela	1	10.686364	-84.20616	13	1	2023
Ara macao	Alajuela	2	10.02579	-84.25141	5	2	2023
Ara macao	Alajuela	5	10.6767	-84.2238	18	3	2023
Ara macao	Alajuela	4	10.63094	-84.27216	27	2	2023
Ara macao	Alajuela	2	10.491507	-84.49799	16	2	2023
Ara macao	Alajuela	2	9.923898	-84.39324	23	7	2023
Ara macao	Alajuela	1	10.442189	-84.607124	23	6	2022
Ara macao	Alajuela	2	9.900908	-84.603264	12	1	2023
Ara macao	Alajuela	1	10.68515	-84.18112	12	2	2023
Ara macao	Alajuela	2	10.711517	-84.206795	30	7	2023
Ara macao	Alajuela	2	9.913765	-84.56686	2	3	2023
Ara macao	Alajuela	2	9.913765	-84.56686	7	3	2023
Ara macao	Alajuela	3	10.718353	-84.17186	18	8	2023
Ara macao	Alajuela	6	10.68515	-84.18112	24	6	2018
Ara macao	Alajuela	2	10.68515	-84.18112	13	3	2023
Ara macao	Alajuela	4	10.363387	-84.50144	28	8	2023
Ara macao	Alajuela	2	10.605374	-84.2875	5	2	2023
Ara macao	Alajuela	4	10.668115	-84.23883	1	8	2023
Ara macao	Alajuela	4	10.682181	-84.205246	14	1	2023
Ara macao	Alajuela	1	10.421531	-84.753815	10	6	2023
Ara macao	Alajuela	4	10.6767	-84.2238	13	2	2023
Ara macao	Alajuela	2	10.68515	-84.18112	17	8	2023
Ara macao	Alajuela	2	10.68515	-84.18112	5	7	2023
Ara macao	Alajuela	3	10.686364	-84.20616	6	5	2023
Ara macao	Alajuela	2	10.6767	-84.2238	21	2	2023
Ara macao	Alajuela	1	10.70864	-84.18259	2	3	2023
Ara macao	Alajuela	6	10.36472	-84.49545	7	8	2023
Ara macao	Alajuela	2	9.911766	-84.52359	4	7	2023
Ara macao	Alajuela	4	10.990607	-84.35586	30	6	2023
Ara macao	Alajuela	12	10.68515	-84.18112	8	1	2023
Ara macao	Alajuela	2	10.686624	-84.18053	25	11	2023
Ara macao	Alajuela	2	9.867198	-84.64803	11	7	2023
Ara macao	Alajuela	1	10.427583	-84.75019	1	5	2023
Ara macao	Alajuela	5	9.911333	-84.51214	19	1	2023
Ara macao	Alajuela	1	10.686364	-84.20616	6	2	2023
Ara macao	Alajuela	2	10.68515	-84.18112	21	2	2023
Ara macao	Alajuela	4	9.900908	-84.603264	11	2	2023
Ara macao	Alajuela	2	10.668115	-84.23883	30	7	2023
Ara macao	Alajuela	2	10.356112	-84.51478	23	8	2023
Ara macao	Alajuela	4	10.686364	-84.20616	16	1	2023
Ara macao	Alajuela	8	10.718962	-84.16928	24	8	2023
Ara macao	Alajuela	4	10.711517	-84.206795	14	1	2023
Ara macao	Alajuela	7	9.932425	-84.38173	4	1	2023
Ara macao	Alajuela	2	10.327559	-84.53412	4	7	2023
Ara macao	Alajuela	2	10.711517	-84.206795	7	2	2023
